token_index,token,category,kl_divergence,surprise_gamma,thought_triggered
77,_,content_words,0.0983,0.7435,True
78,SH,content_words,0.1133,0.7514,True
79,IFT,content_words,0.0787,0.7333,True
80,],content_words,0.1032,0.7461,True
81,,content_words,0.109,0.7491,True
82,,content_words,0.1143,0.7519,True
83,During,content_words,0.0814,0.7347,True
84,the,stopwords,0.0896,0.739,True
85,Italian,content_words,0.0915,0.7399,True
86,Renaissance,technical_terms,0.0902,0.7392,True
87,",",punctuation,0.1012,0.745,True
88,master,content_words,0.1015,0.7452,True
89,artists,content_words,0.1151,0.7524,True
90,revolution,content_words,0.0951,0.7418,True
91,ized,content_words,0.0932,0.7409,True
92,visual,content_words,0.093,0.7407,True
93,perspective,content_words,0.0806,0.7343,True
94,and,stopwords,0.0952,0.7419,True
95,pigment,content_words,0.1048,0.7469,True
96,formulation,content_words,0.0876,0.7379,True
97,.,punctuation,0.0857,0.7369,True
98,Leonardo,content_words,0.1063,0.7477,True
99,da,technical_terms,0.0949,0.7417,True
100,Vin,content_words,0.0972,0.743,True
101,ci,content_words,0.0713,0.7294,True
102,utilized,content_words,0.0826,0.7353,True
103,delicate,content_words,0.0763,0.732,True
104,s,content_words,0.0713,0.7294,True
105,f,content_words,0.1096,0.7495,True
106,um,content_words,0.0939,0.7412,True
107,ato,content_words,0.1115,0.7505,True
108,techniques,content_words,0.0938,0.7412,True
109,to,stopwords,0.0904,0.7394,True
110,achieve,content_words,0.1206,0.7553,True
111,subtle,content_words,0.1305,0.7605,True
112,ton,content_words,0.089,0.7386,True
113,al,content_words,0.0826,0.7353,True
114,grad,content_words,0.1009,0.7449,True
115,ients,content_words,0.0798,0.7338,True
116,across,content_words,0.115,0.7523,True
117,port,content_words,0.0775,0.7326,True
118,ra,content_words,0.0582,0.7227,True
119,iture,content_words,0.0925,0.7405,True
120,.,punctuation,0.0995,0.7441,True
121,The,stopwords,0.1109,0.7502,True
122,cultural,content_words,0.0828,0.7354,True
123,synthesis,content_words,0.0622,0.7247,True
124,of,stopwords,0.0961,0.7424,True
125,classical,content_words,0.0863,0.7372,True
126,antiquity,content_words,0.1008,0.7448,True
127,and,stopwords,0.0705,0.729,True
128,human,content_words,0.1004,0.7446,True
129,ism,content_words,0.0634,0.7254,True
130,flourished,content_words,0.1078,0.7485,True
131,throughout,content_words,0.1446,0.7681,True
132,Florence,content_words,0.0907,0.7395,True
133,and,stopwords,0.0851,0.7366,True
134,Venice,content_words,0.0764,0.7321,True
135,.,punctuation,0.1167,0.7532,True
